"","TEMP","PRES","DEWP","RAIN","WSPM","wd.E","wd.ENE","wd.ESE","wd.N","wd.NE","wd.NNE","wd.NNW","wd.NW","wd.S","wd.SE","wd.SSE","wd.SSW","wd.SW","wd.W","wd.WNW","wd.WSW","CO_AQI","PM10_AQI","SO2_AQI","NO2_AQI","O3_AQI","AQI","season","RAIN_cat","month","AQI_cat_bin","AQI_cat","AQI_cat_prev1"
"27",0.55,0.32,0.47,0,0.46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0.22,0.17,0.22,0.2,0.21,0.33,0,0.18,0,2,1
"28",0.49,0.52,0.38,0,0.35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05,0.09,0.08,0.2,0.27,0.08,0.33,0,0.18,0,1,0
"29",0.45,0.54,0.46,0,0.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.25,0.34,0.48,0.07,0.24,0.33,0,0.18,0,2,0
"30",0.46,0.55,0.51,0,0.26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.17,0.19,0.45,0.36,0.15,0.18,0.33,0,0.18,0,2,0
"31",0.44,0.47,0.59,0,0.22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.35,0.1,0.39,0.01,0.34,0.33,0,0.18,1,3,0
"32",0.54,0.45,0.52,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.12,0.2,0.12,0.19,0.24,0.19,0.33,0,0.27,0,2,1
"33",0.53,0.44,0.54,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.13,0.25,0.3,0.37,0.25,0.24,0.33,0,0.27,0,2,0
"34",0.57,0.35,0.55,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.15,0.37,0.36,0.49,0.22,0.36,0.33,0,0.27,1,3,0
"35",0.48,0.4,0.55,0.03,0.23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.24,0.19,0.43,0.46,0.09,0.18,0.33,1,0.27,0,2,1
"36",0.5,0.48,0.55,0.01,0.39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.08,0.08,0.21,0.17,0.07,0.33,1,0.27,0,0,0
"37",0.5,0.43,0.48,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.03,0.03,0.05,0.12,0.27,0.02,0.33,0,0.27,0,0,0
"38",0.51,0.26,0.54,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.12,0.22,0.31,0.39,0.15,0.21,0.33,0,0.27,0,2,0
"39",0.51,0.36,0.58,0,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.03,0.22,0.04,0.09,0.32,0.21,0.33,0,0.27,0,2,0
"40",0.49,0.5,0.49,0,0.66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.03,0.04,0.03,0.05,0.35,0.03,0.33,0,0.27,0,0,0
"41",0.48,0.49,0.46,0,0.42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.15,0.27,0.03,0.33,0,0.27,0,0,0
"42",0.53,0.47,0.48,0,0.34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06,0.11,0.07,0.32,0.19,0.1,0.33,0,0.27,0,1,0
"43",0.63,0.35,0.51,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.07,0.24,0.17,0.49,0.13,0.23,0.33,0,0.27,0,2,0
"44",0.69,0.2,0.56,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.07,0.24,0.2,0.29,0.2,0.23,0.33,0,0.27,0,2,0
"45",0.57,0.31,0.53,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.05,0.19,0.09,0.21,0.28,0.18,0.33,0,0.27,0,2,0
"46",0.59,0.17,0.57,0,0.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.14,0.33,0.36,0.42,0.21,0.32,0.33,0,0.27,1,3,0
"47",0.63,0.24,0.56,0,0.38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.29,0.25,0.26,0.29,0.28,0.33,0,0.27,0,2,1
"48",0.58,0.33,0.53,0,0.33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.06,0.16,0.15,0.28,0.27,0.15,0.33,0,0.27,0,1,0
"49",0.55,0.55,0.47,0,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0.07,0.02,0.13,0.31,0.06,0.33,0,0.27,0,0,0
"50",0.45,0.58,0.53,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.07,0.15,0.14,0.29,0.16,0.14,0.33,1,0.27,0,1,0
"51",0.51,0.52,0.56,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.06,0.14,0.07,0.29,0.21,0.13,0.33,0,0.27,0,1,0
"52",0.57,0.46,0.61,0,0.36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1,0.28,0.21,0.39,0.09,0.28,0.33,0,0.27,0,2,0
"53",0.58,0.38,0.64,0,0.26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.12,0.33,0.32,0.37,0.14,0.32,0.33,0,0.27,1,3,0
"54",0.57,0.33,0.65,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.12,0.34,0.2,0.34,0.07,0.34,0.33,0,0.27,1,3,1
"55",0.64,0.32,0.57,0,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08,0.2,0.1,0.2,0.18,0.19,0.33,0,0.27,0,2,1
"56",0.63,0.36,0.51,0,0.36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.06,0.03,0.2,0.24,0.05,0.33,0,0.27,0,0,0
"57",0.66,0.3,0.59,0,0.19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.27,0.27,0.45,0.21,0.26,0.33,0,0.27,0,2,0
"58",0.69,0.32,0.61,0,0.21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.09,0.23,0.35,0.39,0.36,0.22,0.33,0,0.27,0,2,0
"59",0.66,0.31,0.61,0,0.18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.17,0.21,0.41,0.33,0.36,0.2,0.33,0,0.27,0,2,0
"60",0.74,0.34,0.5,0,0.36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.02,0.1,0.04,0.11,0.39,0.09,0.33,0,0.27,0,1,0
"61",0.76,0.38,0.5,0,0.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.09,0.05,0.23,0.32,0.08,0.33,0,0.27,0,1,0
"62",0.69,0.4,0.59,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.05,0.16,0.15,0.25,0.33,0.15,0.33,0,0.36,0,1,0
"63",0.72,0.34,0.64,0,0.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.22,0.34,0.36,0.45,0.21,0.33,0,0.36,0,2,0
"64",0.7,0.44,0.67,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.06,0.13,0.2,0.15,0.51,0.12,0.33,0,0.36,0,1,0
"65",0.71,0.43,0.7,0,0.29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.06,0.21,0.22,0.19,0.45,0.2,0.33,0,0.36,0,2,0
"66",0.75,0.43,0.75,0,0.21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.14,0.44,0.37,0.41,0.39,0.43,0.33,0,0.36,1,4,0
"67",0.8,0.39,0.77,0,0.23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.15,0.46,0.27,0.28,0.55,0.45,0.33,0,0.36,1,4,1
"68",0.81,0.4,0.76,0,0.21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.15,0.42,0.4,0.5,0.46,0.41,0.33,0,0.36,1,4,1
"69",0.74,0.38,0.76,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.15,0.29,0.56,0.37,0.37,0.28,0.33,1,0.36,0,2,1
"70",0.69,0.3,0.75,0,0.15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.04,0.11,0.16,0.35,0.21,0.1,0.33,0,0.36,0,1,0
"71",0.77,0.14,0.63,0,0.37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.05,0.17,0.12,0.33,0.29,0.16,0.33,0,0.36,0,1,0
"72",0.8,0.02,0.6,0,0.26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.04,0.24,0.15,0.41,0.22,0.23,0.33,0,0.36,0,2,0
"73",0.79,0.11,0.58,0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.04,0.18,0.17,0.36,0.29,0.17,0.33,0,0.36,0,1,0
"74",0.76,0.15,0.66,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.17,0.33,0.55,0.51,0.35,0.32,0.33,0,0.36,1,3,0
"75",0.8,0.27,0.65,0,0.28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.21,0.15,0.28,0.4,0.2,0.33,0,0.36,0,2,1
"76",0.78,0.42,0.69,0,0.22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.15,0.29,0.44,0.37,0.47,0.28,0.33,0,0.36,0,2,0
"77",0.77,0.43,0.74,0,0.24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.08,0.21,0.26,0.34,0.43,0.2,0.33,0,0.36,0,2,0
"78",0.76,0.33,0.78,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.13,0.25,0.25,0.29,0.44,0.24,0.33,0,0.36,0,2,0
"79",0.76,0.23,0.81,0,0.36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.11,0.28,0.15,0.29,0.34,0.27,0.33,0,0.36,0,2,0
"80",0.75,0.12,0.63,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.04,0.28,0.08,0.13,0.29,0.27,0.33,0,0.36,0,2,0
"81",0.76,0.12,0.61,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.03,0.26,0.16,0.28,0.36,0.25,0.33,0,0.36,0,2,0
"82",0.79,0.1,0.74,0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.07,0.43,0.35,0.46,0.48,0.42,0.33,0,0.36,1,4,0
"83",0.79,0.31,0.72,0,0.16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.14,0.25,0.33,0.44,0.41,0.24,0.33,0,0.36,0,2,1
"84",0.8,0.31,0.73,0,0.14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.19,0.25,0.28,0.56,0.36,0.24,0.33,0,0.36,0,2,0
"85",0.82,0.34,0.78,0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.16,0.32,0.15,0.43,0.28,0.31,0.33,0,0.36,1,3,0
"86",0.83,0.31,0.79,0,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.09,0.21,0.24,0.36,0.44,0.2,0.33,0,0.36,0,2,1
"87",0.76,0.28,0.84,0,0.19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.14,0.21,0.08,0.31,0.09,0.2,0.33,1,0.36,0,2,0
"88",0.71,0.26,0.83,0.01,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.14,0.04,0.3,0.16,0.13,0.33,1,0.36,0,1,0
"89",0.73,0.22,0.82,0.01,0.26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.09,0.15,0.01,0.4,0.09,0.14,0.33,1,0.36,0,1,0
"90",0.82,0.29,0.62,0,0.42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0.03,0.16,0.38,0.08,0.33,0,0.36,0,1,0
"91",0.84,0.23,0.7,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.06,0.25,0.16,0.48,0.5,0.24,0.33,0,0.36,0,2,0
"92",0.83,0.16,0.81,0,0.27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08,0.28,0.25,0.3,0.65,0.27,0.33,0,0.36,0,2,0
"93",0.84,0.24,0.72,0,0.19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05,0.22,0.06,0.35,0.39,0.21,0.33,0,0.45,0,2,0
"94",0.78,0.2,0.83,0,0.16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.17,0.33,0.11,0.39,0.36,0.32,0.33,0,0.45,1,3,0
"95",0.85,0.21,0.82,0,0.14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.13,0.28,0.11,0.46,0.54,0.27,0.33,0,0.45,0,2,1
"96",0.75,0.34,0.84,0.06,0.19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.18,0.3,0.09,0.51,0.29,0.29,0.33,1,0.45,1,3,0
"97",0.72,0.34,0.86,0.03,0.12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.16,0.21,0.01,0.31,0.1,0.2,0.33,1,0.45,0,2,1
"98",0.72,0.31,0.86,0,0.11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.24,0.02,0.33,0.05,0.23,0.33,1,0.45,0,2,0
"99",0.74,0.28,0.87,0.08,0.12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.23,0.03,0.39,0.02,0.22,0.33,1,0.45,0,2,0
"100",0.74,0.26,0.88,0.01,0.11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.28,0.35,0.05,0.47,0.03,0.35,0.33,1,0.45,1,3,0
"101",0.69,0.32,0.84,0.06,0.22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0.03,0.37,0.1,0.08,0.33,1,0.45,0,1,1
"102",0.75,0.35,0.81,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.04,0.06,0.03,0.4,0.21,0.05,0.33,1,0.45,0,0,0
"103",0.76,0.27,0.81,0.03,0.21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.15,0.03,0.51,0.29,0.14,0.33,1,0.45,0,1,0
"104",0.77,0.26,0.81,0,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.08,0.12,0.1,0.39,0.53,0.11,0.33,1,0.45,0,1,0
"105",0.82,0.27,0.83,0,0.21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.13,0.25,0.22,0.5,0.65,0.24,0.33,0,0.45,0,2,0
"106",0.87,0.26,0.79,0,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08,0.29,0.26,0.46,0.78,0.28,0.33,0,0.45,0,2,0
"107",0.85,0.25,0.83,0,0.15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.14,0.33,0.27,0.66,0.5,0.33,0.33,0,0.45,1,3,0
"108",0.79,0.18,0.87,0,0.18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.33,0.28,0.54,0.18,0.32,0.33,1,0.45,1,3,1
"109",0.86,0.14,0.85,0,0.19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05,0.09,0.06,0.32,0.44,0.08,0.33,0,0.45,0,1,1
"110",0.89,0.07,0.84,0,0.22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.06,0.17,0.11,0.55,0.41,0.16,0.33,0,0.45,0,1,0
"111",0.92,0.16,0.84,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.07,0.14,0.14,0.34,0.58,0.13,0.33,0,0.45,0,1,0
"112",0.86,0.25,0.88,0,0.11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.03,0.16,0.14,0.58,0.27,0.15,0.33,0,0.45,0,1,0
"113",0.85,0.29,0.87,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.04,0.18,0.09,0.48,0.37,0.17,0,0,0.45,0,1,0
"114",0.77,0.27,0.88,0.02,0.16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.07,0.11,0.02,0.35,0.16,0.1,0,1,0.45,0,1,0
"115",0.86,0.18,0.85,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.06,0.37,0.52,0.09,0,0,0.45,0,1,0
"116",0.83,0.15,0.89,0.02,0.18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.22,0.06,0.35,0.59,0.21,0,1,0.45,0,2,0
"117",0.78,0.12,0.9,0,0.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.16,0.2,0.09,0.35,0.17,0.19,0,1,0.45,0,2,0
"118",0.87,0.05,0.91,0,0.23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.19,0.26,0.05,0.35,0.51,0.25,0,0,0.45,0,2,0
"119",0.9,0.07,0.87,0,0.23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.22,0.19,0.09,0.41,0.57,0.18,0,0,0.45,0,2,0
"120",0.85,0.13,0.92,0.07,0.15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.27,0.53,0.23,0.45,0.3,0.52,0,1,0.45,1,4,0
"121",0.8,0.2,0.91,0,0.14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.16,0.19,0.07,0.35,0.2,0.18,0,1,0.45,0,1,1
"122",0.84,0.18,0.94,0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.41,0.14,0.41,0.14,0.4,0,0,0.45,1,4,0
"123",0.84,0.09,0.94,0.17,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.24,0.26,0.14,0.43,0.03,0.25,0,1,0.55,0,2,1
"124",0.92,0.02,0.86,0.04,0.32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.03,0.25,0.39,0.04,0,1,0.55,0,0,0
"125",0.93,0.02,0.89,0,0.12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.04,0.14,0.06,0.43,0.32,0.13,0,0,0.55,0,1,0
"126",0.9,0,0.87,0.01,0.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.03,0.08,0.04,0.33,0.35,0.07,0,1,0.55,0,0,0
"127",0.93,0.07,0.87,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02,0.08,0.03,0.26,0.44,0.06,0,0,0.55,0,0,0
"128",0.93,0.13,0.89,0.04,0.35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0.24,0.1,0.34,0.64,0.23,0,1,0.55,0,2,0
"129",0.89,0.11,0.94,0.02,0.16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.07,0.19,0.06,0.23,0.66,0.18,0,1,0.55,0,2,0
"130",0.84,0.16,0.95,0.12,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.16,0.04,0.31,0.42,0.14,0,1,0.55,0,1,0
"131",0.83,0.17,0.95,0.04,0.13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0.13,0.04,0.35,0.13,0.12,0,1,0.55,0,1,0
"132",0.8,0.21,0.92,0.02,0.09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05,0.07,0.02,0.3,0.09,0.05,0,1,0.55,0,0,0
"133",0.84,0.23,0.91,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0.09,0.02,0.33,0.14,0.08,0,0,0.55,0,0,0
"134",0.88,0.22,0.92,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.07,0.14,0.04,0.31,0.51,0.13,0,0,0.55,0,1,0
"135",0.9,0.24,0.95,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.12,0.2,0.06,0.27,0.54,0.19,0,0,0.55,0,2,0
"136",0.88,0.26,0.93,0.06,0.17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0.17,0.12,0.26,0.43,0.16,0,1,0.55,0,1,0
"137",0.82,0.09,0.95,0.23,0.09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.05,0.02,0.3,0.03,0.04,0,1,0.55,0,0,0
"138",0.89,0.11,0.84,0,0.28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.05,0.02,0.23,0.26,0.04,0,1,0.55,0,0,0
"139",0.89,0.21,0.86,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0.14,0.09,0.35,0.43,0.13,0,0,0.55,0,1,0
"140",0.87,0.19,0.93,0,0.21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.16,0.23,0.12,0.31,0.38,0.22,0,0,0.55,0,2,0
"141",0.88,0.16,0.92,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.08,0.22,0.07,0.28,0.49,0.21,0,0,0.55,0,2,0
"142",0.91,0.19,0.9,0,0.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.17,0.04,0.28,0.44,0.16,0,0,0.55,0,1,0
"143",0.88,0.2,0.92,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.07,0.19,0.06,0.33,0.42,0.18,0,0,0.55,0,1,0
"144",0.88,0.19,0.91,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.11,0.22,0.12,0.36,0.45,0.21,0,0,0.55,0,2,0
"145",0.89,0.11,0.88,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.03,0.12,0.06,0.19,0.52,0.11,0,0,0.55,0,1,0
"146",0.94,0.11,0.87,0,0.17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.11,0.06,0.28,0.3,0.1,0,0,0.55,0,1,0
